root,stat,count,mean_dist,avg_prize_in_bin,sum_prize_in_bin,num_terms,cum_prize,per_%_total_prize,cum_%_total_prize,roots_in_bin
1604,"(44.5, 46.75]",12.0,27.303571428571427,0.6175,7.41,12.0,428.174,1.6254455717027696,93.92355360570332,0.0
1604,"(46.75, 49.0]",20.0,27.303571428571427,1.3850500000000001,27.701,20.0,455.875,6.076446394296682,100.0,0.0
1604,4.0-49.0,280.0,27.303571428571427,1.628125,455.875,280.0,455.875,100.0,100.0,29.0
1623,5-num Summary,280.0,32.917857142857144,,,280.0,,,,
1623,"(6.55, 9.1]",5.0,32.917857142857144,3.0016000000000003,15.008000000000001,5.0,15.008000000000001,3.6363900687395962,3.6363900687395962,1.0
1623,"(9.1, 11.65]",2.0,32.917857142857144,1.055,2.11,2.0,17.118000000000002,0.5112462050266889,4.1476362737662855,0.0
1623,"(11.65, 14.2]",4.0,32.917857142857144,2.467,9.868,4.0,26.986000000000004,2.3909846214233967,6.538620895189682,0.0
1623,"(14.2, 16.75]",5.0,32.917857142857144,2.7702,13.851,5.0,40.837,3.3560526947036347,9.894673589893317,1.0
1623,"(16.75, 19.3]",13.0,32.917857142857144,3.405615384615385,44.273,13.0,85.11000000000001,10.727205324714028,20.621878914607347,2.0
1623,"(19.3, 21.85]",12.0,32.917857142857144,1.4216666666666666,17.06,12.0,102.17000000000002,4.133583060547542,24.755461975154887,2.0
1623,"(21.85, 24.4]",14.0,32.917857142857144,2.2759285714285715,31.863,14.0,134.03300000000002,7.72030228946227,32.475764264617155,0.0
1623,"(24.4, 26.95]",15.0,32.917857142857144,2.360266666666667,35.404,15.0,169.437,8.5782751861445,41.05403945076166,2.0
1623,"(26.95, 29.5]",25.0,32.917857142857144,1.7954400000000001,44.886,25.0,214.323,10.875733250629366,51.929772701391016,3.0
1623,"(29.5, 32.05]",32.0,32.917857142857144,1.08928125,34.857,32.0,249.18,8.445738847684975,60.375511549076,4.0
1623,"(32.05, 34.6]",41.0,32.917857142857144,1.2835853658536585,52.626999999999995,41.0,301.807,12.751352621772302,73.12686417084831,1.0
1623,"(34.6, 37.15]",38.0,32.917857142857144,1.0205,38.778999999999996,38.0,340.586,9.396026817407568,82.52289098825587,2.0
1623,"(37.15, 39.7]",5.0,32.917857142857144,1.2974,6.487,5.0,347.07300000000004,1.5717792094825267,84.0946701977384,4.0
1623,"(39.7, 42.25]",7.0,32.917857142857144,0.9634285714285714,6.744,7.0,353.817,1.6340494818483364,85.72871967958673,3.0
1623,"(42.25, 44.8]",10.0,32.917857142857144,0.7778,7.7780000000000005,10.0,361.595,1.8845843519893775,87.6133040315761,0.0
1623,"(44.8, 47.35]",8.0,32.917857142857144,0.8486250000000001,6.789000000000001,8.0,368.384,1.6449528369318442,89.25825686850796,2.0
1623,"(47.35, 49.9]",7.0,32.917857142857144,1.0468571428571427,7.327999999999999,7.0,375.712,1.7755508011543015,91.03380766966225,2.0
1623,"(49.9, 52.45]",14.0,32.917857142857144,0.7648571428571429,10.708,14.0,386.42,2.594513916315538,93.62832158597779,0.0
1623,"(52.45, 55.0]",20.0,32.917857142857144,1.31485,26.297,20.0,412.71700000000004,6.371678414022199,100.0,0.0
1623,4.0-55.0,280.0,32.917857142857144,1.4739892857142858,412.71700000000004,280.0,412.71700000000004,100.0,100.0,29.0
1649,5-num Summary,280.0,21.610714285714284,,,280.0,,,,
1649,"(2.0, 3.8]",2.0,21.610714285714284,1.396,2.792,2.0,2.792,0.6266595142490972,0.6266595142490972,0.0
1649,"(5.6, 7.4]",5.0,21.610714285714284,2.3497999999999997,11.748999999999999,5.0,14.540999999999999,2.637042490298224,3.263702004547321,0.0
1649,"(7.4, 9.2]",10.0,21.610714285714284,4.2582,42.582,10.0,57.123,9.55745538529909,12.82115738984641,1.0
1649,"(9.2, 11.0]",11.0,21.610714285714284,2.6774545454545455,29.452,11.0,86.575,6.610449861627654,19.431607251474066,3.0
1649,"(11.0, 12.8]",2.0,21.610714285714284,0.6779999999999999,1.3559999999999999,2.0,87.931,0.30435182712097986,19.735959078595045,0.0
1649,"(12.8, 14.6]",18.0,21.610714285714284,2.0042222222222223,36.076,18.0,124.007,8.097195070218635,27.833154148813684,4.0
1649,"(14.6, 16.4]",21.0,21.610714285714284,1.7109999999999999,35.931,21.0,159.938,8.064650073955699,35.89780422276937,2.0
1649,"(16.4, 18.2]",25.0,21.610714285714284,2.15148,53.787,25.0,213.725,12.072398027548777,47.97020225031815,3.0
1649,"(18.2, 20.0]",28.0,21.610714285714284,1.8245,51.086,28.0,264.811,11.4661633040578,59.43636555437596,1.0
1649,"(20.0, 21.8]",28.0,21.610714285714284,1.0755714285714286,30.116,28.0,294.92699999999996,6.759483499686896,66.19584905406285,1.0
1649,"(21.8, 23.6]",23.0,21.610714285714284,2.049782608695652,47.144999999999996,23.0,342.07199999999995,10.58161275045619,76.77746180451904,4.0
1649,"(23.6, 25.4]",23.0,21.610714285714284,0.9936956521739131,22.855,23.0,364.92699999999996,5.129764755789082,81.90722656030812,1.0
1649,"(25.4, 27.2]",24.0,21.610714285714284,0.8186249999999999,19.647,24.0,384.57399999999996,4.40973476950287,86.31696132981098,1.0
1649,"(27.2, 29.0]",9.0,21.610714285714284,0.7616666666666667,6.855,9.0,391.429,1.5385927543615907,87.85555408417258,5.0
1649,"(29.0, 30.8]",8.0,21.610714285714284,0.62625,5.01,8.0,396.43899999999996,1.124485732946983,88.98003981711956,1.0
1649,"(30.8, 32.6]",7.0,21.610714285714284,1.169,8.183,7.0,404.62199999999996,1.8366600304800724,90.81669984759964,2.0
1649,"(32.6, 34.4]",8.0,21.610714285714284,1.042125,8.337,8.0,412.95899999999995,1.8712250609938121,92.68792490859344,0.0
1649,"(34.4, 36.2]",14.0,21.610714285714284,1.0002857142857142,14.004,14.0,426.96299999999997,3.1431732942494115,95.83109820284285,0.0
1649,"(36.2, 38.0]",12.0,21.610714285714284,1.5478333333333334,18.574,12.0,445.537,4.1689017971571385,100.0,0.0
